	Age_Estimate	Age_Std.Rrror	Age_Z_value	Age_Pvalue	Gender_Estimate	Gender_Std.Rrror	Gender_Z_value	Gender_Pvalue	Metabolite_Estimate	Metabolite_Std.Rrror	Metabolite_Z_value	Metabolite_Pvalue	BMI_Estimate	BMI_Std.Rrror	BMI_Z_value	BMI_Pvalue	Smoking_Estimate	Smoking_Std.Rrror	Smoking_Z_value	Smoking_Pvalue	DM_status_Estimate	DM_status_Std.Rrror	DM_status_Z_value	DM_status_Pvalue	Fasting_status_Estimate	Fasting_status_Std.Rrror	Fasting_status_Z_value	Fasting_status_Pvalue	Cohort_Estimate	Cohort_Std.Rrror	Cohort_Z_value	Cohort_Pvalue	N	Ndf	Ncases	Ncontrols
TG.PG	0.016127535	0.006862201	2.350198551	0.018763399	0.221253758	0.138449682	1.598080645	0.11002503	0.028643073	0.069911829	0.409702815	0.682023965	0.014029821	0.016897099	0.830309444	0.40636385	0.500639021	0.087408748	5.727561974	1.02E-08	0.617888639	0.225756897	2.736964624	0.006200896	-0.076604185	0.11878267	-0.644910449	0.51898522	0.266478133	0.202586786	1.315377663	0.188383009	1215	1203	346	869
XS.VLDL.PL	0.015625741	0.006907447	2.26215862	0.023687605	0.199853466	0.13911511	1.436605029	0.150830254	0.02907432	0.071636809	0.405857273	0.684847474	0.015644801	0.01634172	0.957353393	0.338388914	0.502601685	0.087352275	5.753733193	8.73E-09	0.629203502	0.224795033	2.799009806	0.005125958	-0.084444545	0.11761522	-0.717972932	0.472773977	0.29171506	0.208523764	1.398953548	0.161826913	1214	1202	346	868
M.LDL.L	0.01575149	0.006886845	2.287185081	0.022185022	0.202314858	0.138155235	1.464402396	0.143084034	0.028053695	0.069704911	0.402463673	0.687342818	0.015866264	0.016348329	0.970512858	0.331790919	0.502909432	0.087333481	5.758495215	8.49E-09	0.630386999	0.224939072	2.80247888	0.005071154	-0.083612734	0.117600059	-0.710992283	0.477089018	0.290190752	0.20771874	1.397036938	0.162402463	1214	1202	346	868
S.VLDL.TG	0.016384193	0.006869412	2.385093868	0.017074764	0.210694872	0.137151147	1.536223915	0.124483473	0.027747621	0.069208104	0.400930221	0.688471499	0.01434408	0.016806618	0.85347807	0.393394244	0.500568814	0.087478305	5.722205214	1.05E-08	0.617512646	0.225271572	2.74119207	0.006121671	-0.072644715	0.1181797	-0.614697068	0.538754797	0.271607581	0.202538382	1.341017831	0.179914663	1213	1201	345	868
S.VLDL.P	0.016321453	0.00687124	2.375328547	0.017533336	0.207626924	0.136818937	1.517530605	0.129132772	0.027054882	0.068684446	0.393901151	0.69365402	0.014609366	0.016677985	0.875967036	0.381047955	0.501236414	0.08742531	5.733310114	9.85E-09	0.620397144	0.224810102	2.759649753	0.005786336	-0.07293918	0.118133286	-0.617431231	0.536950327	0.278334338	0.203908181	1.364998387	0.172253557	1213	1201	345	868
M.VLDL.C_.	0.016288893	0.006892933	2.363129422	0.01812134	0.224460186	0.139492808	1.609116548	0.107590859	-0.032053951	0.082547808	-0.388307722	0.697788323	0.014353986	0.016670308	0.861050997	0.389209956	0.499447098	0.0874562	5.710825491	1.12E-08	0.618050461	0.225570526	2.739943344	0.006144978	-0.085058241	0.11772822	-0.72249662	0.469989203	0.249470409	0.209156992	1.192742385	0.232970281	1214	1202	346	868
XL.VLDL.TG	0.016275501	0.006873619	2.36782138	0.017893172	0.200559065	0.137017159	1.463751452	0.143261871	-0.026854883	0.069631123	-0.385673566	0.699738442	0.017849831	0.016808876	1.061928879	0.288267974	0.501195638	0.087460824	5.730515876	1.00E-08	0.630112945	0.224784415	2.803187866	0.005060019	-0.092851608	0.119947115	-0.774104553	0.438868965	0.272917446	0.202586774	1.347163193	0.177927679	1213	1201	345	868
TotPG	0.016136693	0.006855195	2.353936501	0.018575784	0.228858291	0.144521683	1.583556778	0.113294616	-0.027504753	0.072272054	-0.380572455	0.703520524	0.0157614	0.016325738	0.965432648	0.334328156	0.505340104	0.0873611	5.78449796	7.27E-09	0.619204361	0.225070028	2.751163123	0.005938406	-0.088798154	0.118461792	-0.7495932	0.453499747	0.260857349	0.203896581	1.279361072	0.200769935	1214	1202	346	868
S.LDL.L	0.016051268	0.00687268	2.335518019	0.019516376	0.204900522	0.138259928	1.481995005	0.138341624	0.025469738	0.069406227	0.366966183	0.713644243	0.01601394	0.016351619	0.979348905	0.327407614	0.501523662	0.087341156	5.742123035	9.35E-09	0.632365618	0.224921146	2.811499183	0.004931122	-0.082631062	0.117635999	-0.702430058	0.482411006	0.285637536	0.20692225	1.380409962	0.167460455	1215	1203	346	869
EstC	0.016161187	0.006855104	2.357540719	0.018396438	0.224659256	0.14092439	1.59418293	0.110895069	-0.026546152	0.074046344	-0.358507265	0.719963732	0.015417453	0.016356794	0.942571831	0.345899954	0.502904839	0.087300469	5.760620162	8.38E-09	0.619465985	0.225513643	2.746911352	0.006015939	-0.084760308	0.117805993	-0.719490627	0.471838675	0.252489107	0.20809625	1.213328481	0.225004258	1215	1203	346	869
S.VLDL.TG_.	0.016257877	0.006871965	2.365826325	0.017989881	0.221977257	0.139442275	1.591893538	0.111408628	0.026537582	0.076143559	0.348520377	0.727449413	0.014443519	0.016778352	0.860842549	0.389324767	0.500472817	0.087474697	5.721343782	1.06E-08	0.619211773	0.225674244	2.743830059	0.006072697	-0.080944376	0.1178837	-0.686646041	0.492305807	0.256047461	0.206217565	1.241637498	0.21437034	1215	1203	346	869
XL.HDL.TG	0.016415185	0.006896775	2.380124723	0.017306779	0.220554002	0.139426838	1.58186189	0.113681103	-0.025028068	0.07204726	-0.347384032	0.728302828	0.015849826	0.016332323	0.970457534	0.331818482	0.504333509	0.087343027	5.77417029	7.73E-09	0.621691299	0.224683386	2.766966041	0.005658065	-0.092594352	0.120421386	-0.7689195	0.4419411	0.261427509	0.203971389	1.281687154	0.199952413	1214	1202	346	868
XL.HDL.CE	0.016228004	0.006867856	2.362892115	0.018132947	0.225673573	0.141942892	1.589889916	0.111859621	-0.026493451	0.076294355	-0.347253091	0.728401188	0.014696736	0.016639986	0.883218072	0.377118459	0.501752456	0.087321218	5.746054275	9.13E-09	0.621059331	0.225124071	2.758742449	0.005802425	-0.087485381	0.118256183	-0.739795404	0.459424148	0.264748645	0.202932481	1.30461444	0.192024169	1215	1203	346	869
XL.VLDL.PL_.	0.015975168	0.006871883	2.324714699	0.020087221	0.205012422	0.138288689	1.482495953	0.13820838	0.02511746	0.074748394	0.336026745	0.736850698	0.015058909	0.0163588	0.920538752	0.357291292	0.499266275	0.087301171	5.718895526	1.07E-08	0.633958653	0.226221313	2.802382511	0.005072669	-0.079212922	0.118212771	-0.670087687	0.502801893	0.271962334	0.202871702	1.340563182	0.180062318	1211	1199	346	865
LDL.C	0.015779107	0.0068846	2.291942558	0.021908958	0.203635357	0.138240381	1.473052631	0.140736845	0.022760609	0.070012441	0.325093784	0.745110093	0.015947102	0.016361899	0.974648573	0.329734611	0.503339227	0.087315922	5.764575562	8.19E-09	0.630275154	0.225120261	2.799726467	0.005114593	-0.083792066	0.117610229	-0.712455603	0.476182695	0.287004087	0.208017119	1.379713783	0.167674788	1214	1202	346	868
S.VLDL.CE_.	0.016257475	0.006874709	2.364823666	0.018038657	0.218309113	0.137999029	1.581961226	0.113658422	-0.023405109	0.074465547	-0.314307895	0.753287202	0.01467789	0.016705129	0.878645731	0.379593392	0.500584787	0.087494318	5.721340531	1.06E-08	0.61873545	0.226137716	2.7361002	0.006217209	-0.082529562	0.117723339	-0.70104673	0.483273853	0.257832077	0.205967585	1.251808998	0.210639471	1215	1203	346	869
IDL.CE	0.016199102	0.006861389	2.360907093	0.018230297	0.220129259	0.139093149	1.582603174	0.11351194	-0.021584471	0.071680502	-0.301120528	0.763322588	0.015560961	0.01634091	0.952270165	0.340959985	0.50283833	0.087299255	5.759938392	8.41E-09	0.621112879	0.225383917	2.755799467	0.005854888	-0.085121904	0.117871679	-0.722157384	0.470197721	0.252657662	0.210251198	1.201694279	0.229481999	1215	1203	346	869
S.LDL.FC	0.016168468	0.006868436	2.354024684	0.018571378	0.204845798	0.138378273	1.480332093	0.138784643	0.020354344	0.070398487	0.289130422	0.772481574	0.016113213	0.016367646	0.984455163	0.324891767	0.504038188	0.087371304	5.768921438	7.98E-09	0.629474035	0.224880312	2.799151376	0.005123711	-0.08302566	0.117664466	-0.705613708	0.480428397	0.283638659	0.207699549	1.365620002	0.172058265	1214	1202	346	868
XL.VLDL.P	0.016365594	0.006872658	2.381261163	0.017253475	0.200047034	0.136963793	1.46058334	0.144129821	-0.019424824	0.069045458	-0.281333849	0.77845435	0.017437399	0.016793342	1.038351933	0.299106239	0.502658743	0.087461802	5.747180268	9.07E-09	0.626943454	0.2247645	2.78933485	0.005281643	-0.091694444	0.120124789	-0.76332658	0.445268654	0.271281808	0.202469902	1.339862398	0.180290085	1212	1200	345	867
S.VLDL.C_.	0.016254887	0.006877568	2.363464342	0.018104969	0.218845003	0.138620433	1.578735524	0.114396733	-0.021324809	0.075922037	-0.280877723	0.778804188	0.014769152	0.016726439	0.882982444	0.377245757	0.500888876	0.087471841	5.726287152	1.03E-08	0.619783582	0.226073354	2.741515404	0.006115649	-0.08203979	0.117784309	-0.696525629	0.486099712	0.258228045	0.206560603	1.250132123	0.211251287	1215	1203	346	869
Serum.C	0.016170248	0.006858567	2.357671696	0.018389949	0.221987909	0.140931185	1.575151087	0.115221574	-0.020034598	0.071574025	-0.279914364	0.779543207	0.015505315	0.016356999	0.947931533	0.343164311	0.502853412	0.087301321	5.759974808	8.41E-09	0.621380668	0.225448789	2.7561943	0.005847825	-0.084566585	0.11780087	-0.717877425	0.472832868	0.256396079	0.207990205	1.23273151	0.217675952	1215	1203	346	869
XL.VLDL.C	0.016335804	0.006866859	2.378934006	0.017362784	0.205201674	0.136891069	1.499014323	0.133869916	-0.019245863	0.06896983	-0.279047569	0.78020832	0.016929467	0.016711651	1.013033746	0.311044042	0.502587998	0.087401234	5.750353585	8.91E-09	0.627588555	0.224493962	2.795569862	0.00518083	-0.082907616	0.120363173	-0.688812155	0.490941486	0.266367363	0.202528951	1.315206352	0.188440561	1213	1201	345	868
SFA	0.016265916	0.006861306	2.370673409	0.017755713	0.216534613	0.139523413	1.55195897	0.120672041	-0.019254743	0.069798793	-0.275860691	0.782655067	0.016357384	0.016413616	0.996574033	0.318971315	0.50982745	0.087538417	5.824042388	5.74E-09	0.64455553	0.225258006	2.861410082	0.004217611	-0.089629758	0.119140703	-0.752301744	0.451869619	0.264160644	0.203414024	1.298635356	0.194069098	1213	1201	346	867
VLDL.C	0.016110619	0.006868985	2.345414856	0.019005919	0.20900461	0.136921309	1.526457871	0.126895875	0.019021955	0.069880342	0.272207529	0.785462453	0.015141651	0.016522051	0.916451071	0.35943036	0.504291613	0.087356581	5.772794773	7.80E-09	0.625507383	0.224549923	2.785604978	0.005342794	-0.080123798	0.118395965	-0.676744328	0.498568186	0.281054134	0.206342013	1.362079055	0.173172938	1214	1202	346	868
S.HDL.TG	0.016090886	0.006863652	2.344362078	0.019059658	0.211770154	0.136901615	1.546878423	0.121892565	0.019452253	0.073302369	0.265370043	0.790724411	0.014727194	0.016917169	0.870547179	0.384001448	0.502720999	0.087427221	5.750165613	8.92E-09	0.620605165	0.225060252	2.757506759	0.005824401	-0.082020337	0.117904546	-0.695650336	0.486647835	0.275903279	0.203524271	1.355628386	0.175217436	1213	1201	346	867
ApoB	0.015814425	0.006879708	2.298706024	0.021521638	0.206395176	0.137508708	1.50096077	0.133365709	0.018355546	0.069216574	0.265190046	0.790863063	0.015336516	0.016381301	0.936220914	0.349159457	0.503019194	0.087350088	5.758656999	8.48E-09	0.626309401	0.224601433	2.788536973	0.00529467	-0.081895654	0.117959885	-0.694266988	0.487514789	0.282556629	0.206752579	1.366641378	0.171737741	1214	1202	346	868
XS.VLDL.C	0.016013483	0.006893063	2.323130355	0.020172151	0.204861982	0.138725466	1.476743878	0.139744306	0.019791699	0.075434971	0.26236769	0.79303798	0.015833801	0.016336566	0.969224555	0.332433162	0.504677737	0.087347963	5.777784822	7.57E-09	0.629237984	0.224924389	2.797553377	0.005149126	-0.082631244	0.11773469	-0.701842802	0.482777203	0.28638951	0.211664198	1.35303709	0.176043782	1214	1202	346	868
PUFA	0.015916073	0.006875776	2.314803946	0.020623664	0.200064869	0.140770052	1.421217557	0.155253522	0.018717367	0.071511418	0.261739557	0.793522242	0.015727661	0.016331407	0.963031635	0.335531648	0.505872293	0.087355187	5.790981716	7.00E-09	0.625543333	0.224683553	2.784108252	0.005367512	-0.082939912	0.117806241	-0.704036654	0.481409947	0.280833674	0.205393106	1.367298443	0.17153178	1213	1201	346	867
L.HDL.TG_.	0.015708689	0.006941373	2.263052063	0.02363248	0.208087367	0.1371093	1.517675068	0.129096332	0.018257331	0.07126204	0.256199949	0.797796448	0.01358909	0.016499018	0.823630262	0.410149676	0.499507698	0.087429069	5.713290843	1.11E-08	0.632491511	0.22468249	2.815045856	0.004877027	-0.094883797	0.118871105	-0.798207405	0.424750141	0.284450825	0.20773884	1.369271268	0.170914496	1211	1199	344	867
XL.VLDL.L	0.01637747	0.0068721	2.383182707	0.017163673	0.200203394	0.136963023	1.461733175	0.143814343	-0.017268377	0.069060025	-0.250048805	0.802549606	0.017320872	0.0168006	1.030967457	0.302556081	0.502511037	0.08745416	5.745993539	9.14E-09	0.626361239	0.224731359	2.787155481	0.005317296	-0.091196851	0.120188322	-0.758782963	0.447982399	0.270704543	0.202430844	1.337269248	0.181134765	1212	1200	345	867
L.LDL.FC_.	0.016123869	0.006864316	2.348940411	0.01882692	0.213622397	0.1368177	1.561365212	0.118437605	-0.01700762	0.06910434	-0.246115072	0.805593156	0.014706119	0.016921289	0.869089736	0.38479805	0.5010118	0.087498782	5.725928825	1.03E-08	0.623285092	0.225127161	2.768591267	0.005629921	-0.080975181	0.118067973	-0.685835283	0.492816984	0.272434085	0.202682317	1.344143333	0.178902042	1215	1203	346	869
IDL.C	0.016199132	0.006865037	2.359656911	0.018291843	0.218909413	0.139249183	1.572069642	0.115934401	-0.017613472	0.071783018	-0.245371017	0.806169168	0.015535464	0.01635745	0.94974852	0.342240049	0.502764596	0.087298046	5.75917352	8.45E-09	0.622136946	0.225439081	2.759667685	0.005786018	-0.084491458	0.117803039	-0.71722647	0.473234369	0.255920019	0.210149257	1.217801206	0.223299526	1215	1203	346	869
M.VLDL.TG_.	0.016169112	0.006887415	2.347631332	0.018893211	0.219633918	0.139110316	1.578847088	0.114371135	0.019640156	0.085410094	0.229951229	0.818129668	0.014889737	0.016670273	0.89319097	0.371754913	0.500337907	0.087446014	5.721677652	1.05E-08	0.622961411	0.225068822	2.767870751	0.005642383	-0.084221117	0.117680611	-0.715675391	0.47419181	0.260101459	0.206864671	1.257350797	0.208626638	1214	1202	346	868
L.VLDL.P	0.016255985	0.006870283	2.366130313	0.017975116	0.206356252	0.137023806	1.505988322	0.132070172	-0.015792746	0.069600638	-0.226905196	0.820497461	0.016829636	0.016828733	1.000053658	0.317284541	0.501002507	0.087455434	5.728660712	1.01E-08	0.630094086	0.224877084	2.801948844	0.005079493	-0.079374272	0.118949415	-0.667294341	0.50458414	0.269409594	0.202422107	1.330929699	0.183212144	1214	1202	345	869
Ile	0.016125589	0.00687664	2.34498072	0.019028064	0.206187913	0.13835104	1.490324269	0.136138994	-0.016055485	0.071379351	-0.224931793	0.822032336	0.016591092	0.016686737	0.994268158	0.320092333	0.505070058	0.087357944	5.781615665	7.40E-09	0.632174343	0.226406565	2.792208534	0.005234961	-0.089131634	0.120028259	-0.742588744	0.457730705	0.2671147	0.202781281	1.317255216	0.187753091	1214	1202	346	868
L.VLDL.FC	0.016319922	0.006868792	2.37595233	0.017503724	0.205593011	0.136882806	1.501963733	0.133106475	-0.015279048	0.06886782	-0.221860486	0.824422491	0.016830926	0.01682557	1.000318326	0.317156481	0.502983885	0.087468363	5.750466416	8.90E-09	0.628206048	0.224800044	2.794510339	0.005197838	-0.080084422	0.119212274	-0.671780001	0.501723762	0.269173062	0.202392033	1.329958785	0.183531851	1213	1201	345	868
Alb	0.015334718	0.006995036	2.192228506	0.028363011	0.218424421	0.137131025	1.592815496	0.111201588	-0.01880323	0.085796703	-0.219160284	0.826525192	0.016059908	0.016355628	0.981919378	0.326139568	0.500473851	0.087489125	5.720412125	1.06E-08	0.629724375	0.224515001	2.804820942	0.005034454	-0.082359206	0.117691163	-0.699790913	0.48405789	0.265732741	0.207873483	1.278338809	0.20112999	1212	1200	345	867
FAw6.FA	0.016127071	0.006862618	2.349988094	0.018774012	0.214702999	0.137116845	1.565839705	0.117386148	-0.017007485	0.077745584	-0.218758211	0.826838401	0.014766683	0.016988469	0.869218017	0.384727895	0.501330786	0.087448895	5.732842981	9.88E-09	0.623741054	0.225141418	2.77044117	0.005598041	-0.080195928	0.118602404	-0.676174555	0.498929826	0.265317327	0.20342763	1.304234469	0.192153651	1215	1203	346	869
IDL.PL	0.01620493	0.006869514	2.358963037	0.018326081	0.217867091	0.139020979	1.567152612	0.117079024	-0.01548913	0.071737918	-0.215912733	0.829055772	0.015573	0.01635574	0.952142814	0.341024558	0.502795985	0.087302559	5.75923533	8.45E-09	0.623038973	0.225323469	2.765086908	0.005690763	-0.084080336	0.117752883	-0.714040572	0.475202092	0.257534108	0.210207508	1.225142288	0.220521614	1215	1203	346	869
XXL.VLDL.TG	0.016308698	0.006873279	2.372768346	0.017655333	0.202994597	0.136813488	1.483732341	0.137879943	-0.015077034	0.070068596	-0.215175339	0.829630617	0.017066635	0.016717863	1.020862266	0.307319699	0.508695696	0.08748636	5.814571473	6.08E-09	0.645303897	0.225250984	2.864821657	0.004172442	-0.100196987	0.121076968	-0.827547868	0.407926603	0.271406587	0.20255611	1.339908171	0.180275201	1212	1200	346	866
S.HDL.CE	0.016154904	0.006868387	2.352066866	0.018669419	0.209943081	0.137220027	1.529974053	0.126023151	0.014839941	0.069755308	0.212742823	0.831527563	0.015916536	0.01634689	0.973673611	0.330218624	0.502292022	0.08730576	5.753251798	8.75E-09	0.629918688	0.224758908	2.802641704	0.005068594	-0.089048335	0.12059485	-0.738409097	0.460265888	0.274038117	0.203351958	1.347605007	0.177785459	1215	1203	346	869
S.LDL.TG_.	0.016250842	0.006889728	2.358705853	0.018338785	0.21544687	0.136962285	1.573037934	0.115710035	0.015006387	0.071448796	0.210029942	0.833644304	0.014532345	0.016754158	0.867387385	0.385729792	0.511363284	0.087654837	5.833828453	5.42E-09	0.648531002	0.226299661	2.865806338	0.004159486	-0.081410923	0.118079328	-0.689459577	0.490534103	0.26772329	0.202671983	1.320968425	0.186511893	1211	1199	345	866
XL.VLDL.CE_.	0.015823576	0.006868416	2.303817409	0.021232895	0.21854555	0.137407495	1.590492212	0.1117239	-0.016132857	0.077826006	-0.207293908	0.835780331	0.014634471	0.016580585	0.882626926	0.377437876	0.50233421	0.087451021	5.744177777	9.24E-09	0.600365725	0.225848627	2.658265991	0.007854388	-0.089971193	0.118930554	-0.756501928	0.449348317	0.261542842	0.205857403	1.270504909	0.203904835	1213	1201	345	868
L.VLDL.PL	0.016273173	0.006868555	2.369227874	0.017825267	0.206854965	0.136951318	1.51042697	0.130934511	-0.013762366	0.069319181	-0.198536183	0.842625578	0.016718265	0.016835116	0.993059098	0.320681155	0.500890678	0.087458031	5.727211928	1.02E-08	0.629443711	0.224810066	2.799891143	0.005111984	-0.078924242	0.118935117	-0.663590743	0.506952284	0.268654976	0.202365596	1.32757238	0.184319414	1214	1202	345	869
L.LDL.CE	0.015821806	0.006881414	2.299208589	0.021493098	0.206195694	0.138325626	1.490654336	0.136052271	0.013564654	0.070190628	0.193254486	0.846759669	0.015781799	0.016346654	0.965445234	0.334321854	0.503543903	0.087310634	5.767268917	8.06E-09	0.628105901	0.225129944	2.789970494	0.005271285	-0.083639701	0.117675936	-0.710762997	0.477231114	0.281167005	0.208645979	1.347579315	0.177793727	1214	1202	346	868
Serum.TG	0.016354767	0.006867916	2.381329052	0.017250295	0.207370375	0.13682257	1.51561526	0.129616666	0.013322601	0.069147934	0.192668097	0.847218911	0.015134284	0.016835572	0.898946807	0.368680994	0.501347848	0.087486858	5.730550397	1.00E-08	0.622218967	0.224897088	2.766683081	0.005662978	-0.073967009	0.118451795	-0.624448192	0.532333284	0.270293345	0.20258116	1.334247197	0.182122856	1213	1201	345	868
L.VLDL.TG_.	0.016002406	0.006879229	2.326191646	0.020008329	0.219666989	0.137196839	1.601108234	0.109352949	0.01664043	0.08933076	0.186278831	0.852226107	0.015311307	0.016408873	0.933111444	0.350762431	0.497559413	0.087403524	5.692669941	1.25E-08	0.593602824	0.225993884	2.626632254	0.008623447	-0.093279951	0.118705368	-0.785810727	0.431978381	0.264810843	0.205987146	1.285569742	0.198593262	1210	1198	345	865
S.HDL.C	0.016040959	0.006871869	2.334293624	0.019580352	0.214786068	0.137364917	1.56361662	0.117907629	-0.012532172	0.070515887	-0.177721251	0.858941895	0.015779321	0.016326088	0.966509601	0.333789245	0.502771708	0.087303284	5.758909491	8.47E-09	0.625504607	0.224732348	2.783331433	0.005380381	-0.0786524	0.120726666	-0.651491529	0.514729244	0.267029808	0.202993505	1.315459862	0.188355398	1215	1203	346	869
L.VLDL.TG	0.016262573	0.006871727	2.366591738	0.017952724	0.206580121	0.137090357	1.506890246	0.131838792	-0.012348616	0.070722519	-0.174606557	0.861388796	0.016639842	0.016864958	0.986651848	0.323813343	0.500805322	0.087464035	5.725842895	1.03E-08	0.6294073	0.224941469	2.798093664	0.00514052	-0.078377261	0.118800595	-0.659737954	0.509422006	0.269733005	0.202540121	1.331750979	0.182942031	1214	1202	345	869
MUFA.FA	0.016071866	0.006861653	2.342273308	0.019166674	0.211812836	0.136946839	1.546679263	0.121940606	0.012666225	0.073912162	0.171368622	0.863933926	0.014971778	0.016964031	0.882560129	0.377473979	0.499717382	0.087675549	5.699620775	1.20E-08	0.625758381	0.224551855	2.786698787	0.005324795	-0.082874939	0.117774196	-0.703676542	0.481634232	0.26825971	0.202387787	1.325473802	0.185014053	1214	1202	346	868
LA.FA	0.016124118	0.006862023	2.34976155	0.018785441	0.211566324	0.136872887	1.545713904	0.122173678	-0.012361425	0.072530561	-0.170430571	0.864671532	0.015057064	0.016839618	0.894145215	0.3712442	0.500386974	0.087417394	5.724112256	1.04E-08	0.623977288	0.225077201	2.772281176	0.005566493	-0.081769881	0.118254941	-0.691471158	0.4892695	0.265367802	0.203067234	1.306797733	0.191281415	1214	1202	346	868
IDL.L	0.016189902	0.006871828	2.355981817	0.018473822	0.216858418	0.139255776	1.557266948	0.119407119	-0.012089084	0.072199327	-0.167440399	0.86702354	0.015666634	0.016342682	0.958632991	0.337743667	0.502820793	0.087312845	5.75884103	8.47E-09	0.624217446	0.225210608	2.771705348	0.005576349	-0.084035318	0.117761745	-0.713604558	0.475471738	0.260100445	0.210505025	1.235602075	0.216606513	1215	1203	346	869
XS.VLDL.PL_.	0.016130389	0.00685982	2.351430179	0.018701399	0.215846763	0.138295291	1.560767266	0.118578674	-0.011951296	0.072615074	-0.164584235	0.869271241	0.015339656	0.016558625	0.926384647	0.35424612	0.503097516	0.087368694	5.758327076	8.50E-09	0.624194294	0.225333213	2.770094497	0.005604003	-0.080888495	0.118712409	-0.681381967	0.49562983	0.270345628	0.202434956	1.335469096	0.181722863	1215	1203	346	869
FAw6	0.015952905	0.006866835	2.323181623	0.020169398	0.214472401	0.140999318	1.521088216	0.128237701	-0.01191583	0.073013511	-0.163200336	0.870360702	0.015608292	0.016328391	0.955898939	0.339123295	0.506182993	0.087348842	5.794959396	6.83E-09	0.621446177	0.224751975	2.765030999	0.005691739	-0.085874587	0.117912373	-0.728291565	0.466435125	0.265759249	0.205709526	1.291915125	0.196386539	1213	1201	346	867
L.LDL.P	0.015817513	0.006885509	2.297217475	0.021606367	0.206563163	0.138622636	1.490111346	0.136194961	0.011378016	0.070637548	0.161076038	0.872033513	0.015734551	0.016340024	0.962945356	0.335574946	0.503506435	0.087319037	5.766284811	8.10E-09	0.627272272	0.225005156	2.787812884	0.005306518	-0.083759799	0.117686342	-0.711720639	0.476637784	0.279636395	0.208804562	1.339225505	0.180497272	1214	1202	346	868
XXL.VLDL.CE_.	0.015984479	0.006892158	2.31922702	0.02038273	0.216779685	0.136815833	1.584463436	0.113088296	0.01218197	0.076285765	0.159688634	0.873126355	0.01491522	0.016473801	0.90539032	0.365258642	0.505224997	0.087418487	5.77938393	7.50E-09	0.648313636	0.225437134	2.875806775	0.004029963	-0.080289049	0.118068674	-0.680019911	0.496491854	0.282393105	0.207049771	1.363889969	0.172602198	1212	1200	346	866
XXL.VLDL.P	0.016331029	0.006871936	2.376481381	0.017478644	0.203187985	0.136807596	1.48520982	0.137488252	-0.011048308	0.069691228	-0.158532265	0.874037398	0.016858773	0.016713288	1.008704799	0.31311623	0.508614422	0.087485192	5.813720136	6.11E-09	0.64508553	0.225264164	2.863684662	0.004187447	-0.098761475	0.12107062	-0.815734447	0.414652033	0.270776722	0.202521393	1.337027744	0.181213581	1212	1200	346	866
L.LDL.C	0.015830249	0.006881778	2.300313899	0.021430443	0.206812003	0.138496408	1.493266191	0.135367522	0.010945479	0.070407465	0.155459065	0.876459423	0.015789072	0.01635483	0.965407234	0.33434088	0.50361606	0.087308054	5.768265766	8.01E-09	0.627609957	0.225195911	2.786950948	0.005320653	-0.083873257	0.117667148	-0.712800966	0.475968928	0.279385053	0.208857094	1.337685245	0.180999063	1214	1202	346	868
TotCho	0.016183193	0.006859091	2.359378854	0.018305557	0.218213617	0.144639878	1.508668424	0.131383539	-0.011223436	0.073979552	-0.151709976	0.879415689	0.015693506	0.016344954	0.960143828	0.336982833	0.505072008	0.087380763	5.780128162	7.46E-09	0.622914156	0.225216891	2.765841203	0.005677617	-0.085497096	0.118228819	-0.723149367	0.469588122	0.265535119	0.20468341	1.297296733	0.194529108	1214	1202	346	868
L.VLDL.L	0.016278588	0.006869806	2.369584848	0.017808069	0.206931565	0.137055525	1.509837449	0.131084907	-0.01009834	0.070093549	-0.144069463	0.885445618	0.016511188	0.016866518	0.978932803	0.327613183	0.500611517	0.087444218	5.724924141	1.03E-08	0.62867867	0.22483326	2.796199593	0.005170746	-0.078063755	0.118901721	-0.656540157	0.511476638	0.268688729	0.202379981	1.327644796	0.184295479	1214	1202	345	869
Remnant.C	0.015889893	0.006880999	2.30924209	0.020930151	0.206329033	0.137915351	1.496055604	0.134639166	0.00986178	0.071023254	0.138852827	0.889566448	0.015531487	0.016364413	0.949101394	0.342569046	0.505842424	0.0873511	5.790910774	7.00E-09	0.624488557	0.22468911	2.779345008	0.005446864	-0.083279135	0.118064999	-0.705366842	0.480581973	0.279022971	0.209123851	1.33424748	0.182122764	1213	1201	346	867
Val	0.016034324	0.00689039	2.327055963	0.019962287	0.208859967	0.139323506	1.499100704	0.133847509	-0.009669849	0.072724177	-0.132966087	0.894220201	0.016285293	0.016750609	0.972220966	0.330940632	0.502252446	0.087314415	5.752228296	8.81E-09	0.632126172	0.227357917	2.780312996	0.005430653	-0.085370073	0.118567197	-0.720014263	0.471516214	0.266790635	0.203610995	1.310295816	0.190095782	1215	1203	346	869
XXL.VLDL.L	0.01633938	0.006871548	2.377831017	0.017414805	0.203242541	0.136806587	1.485619559	0.137379779	-0.009254137	0.069621597	-0.132920495	0.894256258	0.016771129	0.016719966	1.003060037	0.315831895	0.508582496	0.087485057	5.813364194	6.12E-09	0.64499338	0.225270665	2.863192946	0.004193951	-0.098105966	0.121059327	-0.810395767	0.41771275	0.270615103	0.202516579	1.336261478	0.181463823	1212	1200	346	866
